competition,competition_key,season,player_id,player_name,team_code,games_played,minutes,points,rebounds,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,fg2_made,fg2_att,fg3_made,fg3_att,ft_made,ft_att,points_pg,rebounds_pg,assists_pg,steals_pg,blocks_pg,turnovers_pg,minutes_pg,fg2_pct,fg3_pct,ft_pct,pir,image_url,player_slug,position
EuroCup,eurocup,2025,2875,Ben Altit,CLU,13,47.25,10,3,0,3,3,0,1,6,9,5,8,0,3,0,0,0.77,0.23,0.23,0.0,0.08,0.46,3.63,0.625,0.0,,-5.0,https://media-cdn.cortextech.io/497fe10e-13dc-4c64-a4b0-b5ea0fe81b76.png,,
EuroCup,eurocup,2025,13303,Darius Miron,CLU,4,5.716666666666667,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,,-4.0,https://media-cdn.cortextech.io/23010ca8-1016-4ca0-ba47-d60dc96ff74e.png,,
EuroCup,eurocup,2025,12684,Alexis Petric,CLU,2,2.316666666666667,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,1.16,0.0,,,-3.0,https://media-cdn.cortextech.io/d123899b-6398-4043-ae91-362d0dc3cda8.png,,
Liga Națională,liga_nationala,2026,13943,Daron Russell,UBT,3,76.19,52,7,0,7,16,3,0,7,4,8,14,6,23,18,24,17.33,2.33,5.33,1.0,0.0,2.33,25.4,0.5714285714285714,0.2608695652173913,0.75,38.0,https://media-cdn.cortextech.io/16c13feb-6041-4ba1-8d77-bd4b2467ab9d.png,daron-russell,G
Liga Națională,liga_nationala,2026,13927,Mitchell Creek,UBT,3,73.78999999999999,50,20,3,17,9,1,1,0,5,18,34,3,8,5,8,16.67,6.67,3.0,0.33,0.33,0.0,24.6,0.5294117647058824,0.375,0.625,52.0,https://media-cdn.cortextech.io/1ad95f51-74e6-49cc-a323-1bb3ff3e002d.png,creek-mitch,FG
Liga Națională,liga_nationala,2026,9896,Dusan Miletic,UBT,3,54.42,41,21,9,12,5,1,6,1,6,16,21,1,1,6,9,13.67,7.0,1.67,0.33,2.0,0.33,18.14,0.7619047619047619,1.0,0.6666666666666666,59.0,https://media-cdn.cortextech.io/6e7b25a3-f096-4e25-8f5b-48f00b42c9f4.png,miletic-dusan,C
Liga Națională,liga_nationala,2026,11801,Patrick Richard,UBT,3,83.67,35,18,7,11,9,2,0,4,10,1,3,10,18,3,4,11.67,6.0,3.0,0.67,0.0,1.33,27.89,0.3333333333333333,0.5555555555555556,0.75,39.0,https://media-cdn.cortextech.io/17f0e0b8-e2d8-432b-8444-646a4425dc89.png,patrick-richard,G
Liga Națională,liga_nationala,2026,13926,Iverson Molinar,UBT,3,66.78,30,4,2,2,10,2,0,5,5,9,18,1,7,9,10,10.0,1.33,3.33,0.67,0.0,1.67,22.26,0.5,0.1428571428571428,0.9,20.0,https://media-cdn.cortextech.io/fc6290e3-0b14-41fe-b114-3860f50b7d90.png,iverson-molinar,G
Liga Națională,liga_nationala,2026,14185,Nighael Ceaser,UBT,3,68.17,20,23,7,16,8,2,1,3,8,10,16,0,2,0,0,6.67,7.67,2.67,0.67,0.33,1.0,22.72,0.625,0.0,,35.0,https://media-cdn.cortextech.io/43cc3fcf-23ec-4fc4-b68f-54fecb3fbb0c.png,nighael-ceaser,C
Liga Națională,liga_nationala,2026,6546,Jeffery Taylor,UBT,3,53.32,18,10,4,6,6,4,1,0,5,1,2,4,8,4,4,6.0,3.33,2.0,1.33,0.33,0.0,17.77,0.5,0.5,1.0,29.0,https://media-cdn.cortextech.io/900e0281-8293-403f-a89d-3c52b99e5df7.png,taylor-jeff,F
Liga Națională,liga_nationala,2026,13251,Trey Woodbury,UBT,2,35.55,11,4,1,3,1,0,0,1,2,1,3,2,8,3,6,5.5,2.0,0.5,0.0,0.0,0.5,17.77,0.3333333333333333,0.25,0.5,2.0,https://media-cdn.cortextech.io/785c6591-a714-4675-b329-af0b841bb581.png,trey-woodbury,G
Liga Națională,liga_nationala,2026,2875,Ben Altit,UBT,3,45.47,8,7,3,4,4,0,3,4,9,3,4,0,1,2,2,2.67,2.33,1.33,0.0,1.0,1.33,15.16,0.75,0.0,1.0,7.0,https://media-cdn.cortextech.io/497fe10e-13dc-4c64-a4b0-b5ea0fe81b76.png,ben-altit,C
Liga Națională,liga_nationala,2026,11797,Karel Guzman,UBT,1,7.47,6,1,0,1,0,1,0,1,1,0,0,2,3,0,0,6.0,1.0,0.0,1.0,0.0,1.0,7.47,,0.6666666666666666,,5.0,https://media-cdn.cortextech.io/52a45fa4-2f33-452b-9908-826270198523.png,karel-guzman,F
Liga Națională,liga_nationala,2026,12684,Alexis Petric,UBT,3,20.5,4,2,0,2,1,1,1,4,6,2,4,0,4,0,0,1.33,0.67,0.33,0.33,0.33,1.33,6.83,0.5,0.0,,-7.0,https://media-cdn.cortextech.io/d123899b-6398-4043-ae91-362d0dc3cda8.png,petric-tudor-alexis,F
Liga Națională,liga_nationala,2026,13303,Darius Miron,UBT,2,14.57,0,3,1,2,0,1,0,1,2,0,0,0,5,0,0,0.0,1.5,0.0,0.5,0.0,0.5,7.28,,0.0,,-4.0,https://media-cdn.cortextech.io/23010ca8-1016-4ca0-ba47-d60dc96ff74e.png,miron-darius,G
Liga Națională,liga_nationala,2026,1949098,Radu Andrei Cepoi,UBT,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,https://api.sofascore.app/api/v1/player/1949098/image,radu-andrei-cepoi,G
